iter	Passed	Remaining
653	1805	955
654	1806	951
655	1807	948
656	1809	944
657	1810	941
658	1812	937
659	1813	934
660	1814	930
661	1816	927
662	1818	924
663	1819	920
664	1821	917
665	1822	914
666	1824	911
667	1827	908
668	1828	904
669	1830	901
670	1832	898
671	1833	895
672	1835	891
673	1836	888
674	1837	884
675	1839	881
676	1840	878
677	1842	874
678	1843	871
679	1845	868
680	1847	865
681	1849	862
682	1850	858
683	1852	855
684	1853	852
685	1855	849
686	1856	846
687	1858	842
688	1859	839
689	1861	836
690	1863	833
691	1864	829
692	1866	826
693	1867	823
694	1869	820
695	1871	817
696	1872	814
697	1874	811
698	1876	807
699	1878	804
700	1879	801
701	1881	798
702	1882	795
703	1884	792
704	1885	789
705	1887	785
706	1888	782
707	1889	779
708	1891	776
709	1893	773
710	1895	770
711	1896	767
712	1898	764
713	1899	761
714	1901	757
715	1902	754
716	1904	751
717	1907	749
718	1909	746
719	1911	743
720	1915	741
721	1917	738
722	1918	735
723	1922	732
724	1924	730
725	1926	726
726	1927	723
727	1929	720
728	1930	717
729	1931	714
730	1933	711
731	1935	708
732	1937	705
733	1938	702
734	1939	699
735	1941	696
736	1943	693
737	1944	690
738	1946	687
739	1947	684
740	1949	681
741	1951	678
742	1953	675
743	1954	672
744	1956	669
745	1958	666
746	1960	663
747	1961	660
748	1963	657
749	1964	654
750	1966	652
751	1968	649
752	1969	646
753	1971	643
754	1972	640
755	1973	637
756	1975	634
757	1976	631
758	1978	628
759	1980	625
760	1982	622
761	1983	619
762	1985	616
763	1986	613
764	1988	610
765	1989	607
766	1991	604
767	1992	601
768	1994	599
769	1996	596
770	1998	593
771	1999	590
772	2000	587
773	2002	584
774	2003	581
775	2005	578
776	2006	575
777	2008	573
778	2011	570
779	2012	567
780	2014	564
781	2015	561
782	2017	559
783	2019	556
784	2020	553
785	2022	550
786	2023	547
787	2026	545
788	2027	542
789	2029	539
790	2030	536
791	2032	533
792	2033	530
793	2034	527
794	2036	525
795	2037	522
796	2040	519
797	2042	517
798	2044	514
799	2045	511
800	2046	508
801	2048	505
802	2049	502
803	2050	499
804	2052	497
805	2054	494
806	2056	491
807	2058	489
808	2059	486
809	2061	483
810	2062	480
811	2064	478
812	2066	475
813	2069	472
814	2070	470
815	2072	467
816	2073	464
817	2075	461
818	2076	458
819	2078	456
820	2079	453
821	2081	450
822	2083	448
823	2084	445
824	2086	442
825	2087	439
826	2089	437
827	2090	434
828	2092	431
829	2093	428
830	2095	426
831	2098	423
832	2099	420
833	2101	418
834	2102	415
835	2104	412
836	2105	410
837	2107	407
838	2108	404
839	2110	401
840	2112	399
841	2114	396
842	2115	394
843	2116	391
844	2118	388
845	2119	385
846	2121	383
847	2122	380
848	2123	377
849	2125	375
850	2126	372
851	2128	369
852	2130	367
853	2131	364
854	2133	361
855	2134	359
856	2136	356
857	2137	353
858	2139	351
859	2141	348
860	2143	346
861	2145	343
862	2146	340
863	2148	338
864	2150	335
865	2151	332
866	2153	330
867	2155	327
868	2157	325
869	2159	322
870	2160	320
871	2162	317
872	2163	314
873	2164	312
874	2166	309
875	2167	306
876	2169	304
877	2170	301
878	2172	299
879	2174	296
880	2176	293
881	2178	291
882	2179	288
883	2181	286
884	2182	283
885	2184	281
886	2185	278
887	2188	276
888	2190	273
889	2191	270
890	2193	268
891	2194	265
892	2196	263
893	2198	260
894	2200	258
895	2202	255
896	2204	253
897	2206	250
898	2207	248
899	2209	245
900	2210	242
901	2212	240
902	2213	237
903	2214	235
904	2216	232
905	2218	230
906	2219	227
907	2221	225
908	2223	222
909	2225	220
910	2226	217
911	2228	214
912	2229	212
913	2231	209
914	2233	207
915	2234	204
916	2236	202
917	2237	199
918	2239	197
919	2240	194
920	2242	192
921	2243	189
922	2245	187
923	2247	184
924	2248	182
925	2250	179
926	2252	177
927	2253	174
928	2255	172
929	2257	169
930	2259	167
931	2260	164
932	2262	162
933	2264	160
934	2265	157
935	2267	155
936	2268	152
937	2269	150
938	2271	147
939	2272	145
940	2274	142
941	2278	140
942	2280	137
943	2282	135
944	2284	132
945	2285	130
946	2286	127
947	2288	125
948	2289	123
949	2291	120
950	2293	118
951	2294	115
952	2296	113
953	2297	110
954	2299	108
955	2300	105
956	2302	103
957	2303	101
958	2305	98
959	2307	96
960	2309	93
961	2310	91
962	2312	88
963	2313	86
964	2314	83
965	2316	81
966	2317	79
967	2319	76
968	2321	74
969	2322	71
970	2324	69
971	2325	66
972	2327	64
973	2328	62
974	2330	59
975	2331	57
976	2333	54
977	2335	52
978	2336	50
979	2338	47
980	2340	45
981	2341	42
982	2345	40
983	2346	38
984	2349	35
985	2350	33
986	2352	30
987	2353	28
988	2355	26
989	2356	23
990	2358	21
991	2359	19
992	2361	16
993	2362	14
994	2364	11
995	2366	9
996	2368	7
997	2369	4
998	2371	2
999	2372	0
